Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=30.0, name='Машина'}
Shop{id=1, weight=30.0, name='Машина'}
Shop{id=1, weight=30.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=15.7, name='Машина'}
Shop{id=1, weight=15.7, name='Машина'}
Shop{id=1, weight=15.7, name='Машина'}
Shop{id=2, weight=11.3, name='Кукла'}
Shop{id=1, weight=15.7, name='Машина'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=2, weight=11.3, name='Кукла'}
Shop{id=1, weight=15.7, name='Машина'}
Shop{id=1, weight=15.7, name='Машина'}
Shop{id=2, weight=11.3, name='Кукла'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=1, weight=2.7, name='Машина'}
Shop{id=1, weight=2.7, name='Машина'}
Shop{id=1, weight=2.7, name='Машина'}
Shop{id=1, weight=2.7, name='Машина'}
Shop{id=4, weight=3.1, name='Неваляшка'}
Shop{id=1, weight=2.7, name='Машина'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=4, weight=3.1, name='Неваляшка'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=4, weight=3.1, name='Неваляшка'}
Shop{id=3, weight=0.5, name='Кубики'}
Shop{id=3, weight=6.8, name='Самалёт'}
Shop{id=5, weight=2.2, name='Пупсик'}
Shop{id=8, weight=1.8, name='Бегемот'}
Shop{id=6, weight=5.4, name='Лунтик'}
Shop{id=4, weight=3.1, name='Неваляшка'}
Shop{id=10, weight=0.5, name='Кубики'}
Shop{id=8, weight=1.8, name='Бегемот'}
Shop{id=7, weight=6.8, name='Самалёт'}
Shop{id=7, weight=6.8, name='Самалёт'}
Shop{id=6, weight=5.4, name='Лунтик'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=1, weight=2.7, name='Машина'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=3, weight=4.5, name='Ракета'}
Shop{id=1, weight=2.7, name='Машина'}
Shop{id=7, weight=6.8, name='Самалёт'}
Shop{id=4, weight=3.1, name='Неваляшка'}
Shop{id=7, weight=6.8, name='Самалёт'}
Shop{id=8, weight=1.8, name='Бегемот'}
