Shop{id=1, weight=4.0, name='Машина'}
Shop{id=1, weight=4.0, name='Машина'}
Shop{id=1, weight=4.0, name='Машина'}
Shop{id=1, weight=4.0, name='Машина'}
Shop{id=2, weight=3.0, name='Кукла'}
Shop{id=3, weight=2.5, name='Ракета'}
Shop{id=4, weight=5.1, name='Неваляшка'}
Shop{id=1, weight=4.0, name='Машина'}
Shop{id=2, weight=3.0, name='Кукла'}
Shop{id=3, weight=2.5, name='Ракета'}
Shop{id=4, weight=5.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=3, weight=1.5, name='Ракета'}
Shop{id=2, weight=21.0, name='Кукла'}
Shop{id=4, weight=7.1, name='Неваляшка'}
Shop{id=1, weight=40.0, name='Машина'}
Shop{id=3, weight=1.5, name='Ракета'}
